word,score,freq
ceramics,0.2017958015203476,1
effin,0.20167134702205658,1
sin,0.20160432149552637,5
thatslife,0.2009018510580063,1
understand,0.20016018168202468,12
obvious,0.1988896764232777,2
wanna,0.19543280865764245,27
sounds,0.1933018360286951,2
hill,0.1929115504026413,2
pay,0.19185336820082738,5
commercials,0.19172309536952525,2
dude,0.1915423512797464,11
hound,0.19023942947387695,1
throw,0.1891314340464305,13
add,0.18830959471430903,5
excuses,0.18650810420513153,1
nut,0.18591541344039797,2
coach,0.1803646134212613,4
slag,0.17812155187129974,1
dang,0.17708292230963707,2
wolves,0.17500312626361847,1
romeo,0.17383317649364471,1
seriously,0.17330972531843664,12
fabric,0.17143713776022196,2
dirty,0.1706876877695322,5
broke,0.16960574249969795,8
hell,0.169313941543957,24
lied,0.16857436299324036,1
trashed,0.16724038124084473,1
indecision,0.16485074907541275,2
jealousy,0.16448978645106158,3
cereal,0.16069613823128748,2
@the_architect44,0.16050009429454803,1
sort,0.15770521119702607,3
chat,0.1551513373851776,2
fights,0.15394508838653564,1
dontunderstand,0.15372638404369354,1
type,0.15341887599788606,5
taped,0.15338446199893951,1
fried,0.15325108170509338,1
swear,0.15093167092312465,11
prezzie,0.1492062360048294,1
georgia,0.1463460773229599,1
slick,0.14587394008412957,1
bastard,0.1443406045436859,2
file,0.14400239288806915,2
war,0.1426481511111238,6
fool,0.1421257622340428,7
boil,0.14029910694807768,2
wrestling,0.1401707575423643,4
stacy,0.13306528329849243,1
neighbor,0.12918730080127716,1
psychotropic,0.12808185815811157,1
stingy,0.12807533144950867,1
mama,0.1272130956252416,3
unsure,0.1269124448299408,1
refs,0.12679581344127655,1
leg,0.12443899363279343,1
brings,0.12397103324266416,7
issues,0.12344517153022545,14
problem,0.12257344782364855,7
episode,0.12165386974811554,9
balls,0.12089903016021708,8
customer,0.12011487657825153,3
dispel,0.11553487181663513,1
substance,0.11367407441139221,1
glee,0.1079721599817276,2
manger,0.10762736946344376,1
idgaf,0.10495616123080254,2
gooooo,0.10368543863296509,1
loading,0.10357599946655682,2
kissed,0.103413887321949,1
congress,0.10319455340504646,2
subway,0.10147062689065933,1
computer,0.10050815257735932,11
chain,0.09948710352182388,1
rest,0.09791089644512305,13
arrogant,0.09747564792633057,1
2c,0.09738947451114655,1
violationofaphysicslaw,0.09508508443832397,1
reviews,0.09493682533502579,1
ferguson,0.09485424309968948,1
traffic,0.09411611134419218,6
remix,0.09405799210071564,1
single,0.09266473838943057,8
headband,0.09226007759571075,1
speak,0.09177110600123545,9
jump,0.09153888514265418,3
nannies,0.09108782559633255,1
unhappiness,0.09085232764482498,1
red,0.08979129593353719,7
kyle,0.08977656469990809,3
damn,0.08950513898162171,31
control,0.08878483878452244,16
letitout,0.0886041671037674,1
wonder,0.08738112445826118,4
bighead,0.08623125404119492,1
tired,0.08415716265638669,6
climatic,0.08399186283349991,1
town,0.08361279149539769,4
stop,0.08356720682682603,27
yelled,0.08302164077758789,1
cut,0.08222723120759058,7
negativity,0.08196862787008286,1
motherboard,0.0819626897573471,1
supposed,0.08170875196810812,5
ill,0.08096981208239283,7
wave,0.08040584267291706,2
internet,0.07749212882481515,6
building,0.07741453861802909,6
cool,0.07723222184771052,15
verge,0.07691451435675845,2
