,column1,column2
1258,burning,-0.00015176776031150882
454,swim,-0.00015173231997010344
5780,attacks,-0.0001515884714321422
1422,davina,-0.00015141915784257738
1566,permanent,-0.0001511481417533663
253,remembers,-0.00015094964917496386
6002,sean,-0.00015094221808671383
7309,flooded,-0.00015086189502011267
6112,poinsettia,-0.00015064179161442578
4846,killers,-0.00015055794377033093
906,las,-0.00015055340806662283
5990,marked,-0.00015053950706961177
2277,breathe,-0.00015048206479346978
1031,capable,-0.00015008390157761684
5936,silent,-0.00014965064006514084
1447,este,-0.00014956855177219677
5047,shhhh,-0.00014947652075135635
5782,introversion,-0.00014940620283060294
4235,5ish,-0.00014937733200955723
6652,enabled,-0.00014929554453926708
4844,-at,-0.00014927035446792836
572,hou,-0.00014919608101308216
6368,1h30,-0.00014912729900753768
7500,petersen,-0.00014903265311536933
7771,contortionist,-0.00014896290231887382
768,oops,-0.0001489148842278394
4922,scare,-0.00014887336340177967
5602,phillips,-0.00014870247404935043
5386,escuchar,-0.00014839948234613603
4814,familie,-0.0001481613840085088
7057,forgetting,-0.0001480843107184938
7852,otra,-0.00014807761570014314
2962,appointment,-0.00014803528599518001
1002,enfants,-0.00014791055080972648
5955,nathan,-0.000147815981970799
3285,gas,-0.00014777387057823043
1019,actor,-0.00014765819534439856
6519,lily,-0.00014761244439995096
7728,humanity,-0.00014753136791719333
3864,scuttling,-0.0001475243021848398
6755,matilda,-0.00014747003558135226
8252,re,-0.00014746785691504037
3210,believers,-0.00014724792286936048
4689,tall,-0.00014723825488265307
5646,yrs,-0.00014720885846698347
5140,approx,-0.00014714176340925833
3278,paraplegic,-0.00014713431869768385
1095,rioters,-0.00014710992234451343
6048,surviving,-0.00014706238568088601
1948,lived,-0.00014703443613375714
2048,hole,-0.00014698530409449275
3269,children,-0.0001468750377528312
2446,para,-0.00014683424609766548
3966,workshop,-0.00014670350878027616
2009,9,-0.00014661215313918833
4761,egoless,-0.00014646722436636525
6505,necesidad,-0.0001464474475093108
7722,gasol,-0.00014630472620174694
7290,poco,-0.0001460286525596413
8220,recordings,-0.00014582405006554244
2490,"1,000th",-0.0001456138875434466
2221,horney,-0.0001453619611146995
3047,prep,-0.00014529507418311523
356,thanksgiving,-0.00014518385046452938
2139,living,-0.00014513968635336693
7188,hitler,-0.00014513176408264698
1081,ricki,-0.00014492955116054978
2396,panic,-0.00014489454849043342
3236,lit,-0.00014485507536886417
6545,laurie,-0.00014457197907520564
1402,volumen,-0.00014452547181693023
3203,russell,-0.00014438029584288738
5778,7.30am,-0.00014423895934624858
6899,citizens,-0.0001441919530471454
5440,painting,-0.00014412049372883602
6608,œ,-0.0001440294542760336
5781,introspection,-0.0001439932001714088
2605,memories,-0.0001438542824957139
1608,laundrette,-0.00014374065597687078
6359,arrondissement,-0.00014350071412430086
6116,small,-0.00014338401372602304
3910,radiator,-0.00014308101839588302
4133,helping,-0.0001426846199543994
4251,coles,-0.00014259274495054584
4880,half-lived,-0.00014253610533276691
2168,kill,-0.00014250632900319207
5122,lt,-0.00014245263470081895
910,quienes,-0.0001423350274113633
7891,saxon,-0.00014225852792771593
8675,sensory,-0.00014220345735220855
5022,veremos,-0.0001420496213691626
6113,plants,-0.00014199654516125587
1410,quien,-0.00014195861309859292
3334,lizards,-0.00014194914163694487
5166,ev,-0.00014181905505763185
655,feet,-0.00014176090916816103
7975,tx,-0.00014171909272704943
6307,rds,-0.00014144412069817984
2587,civilisation,-0.00014132297070483667
2451,esperar,-0.00014108621809660296
5713,commit,-0.00014095242821522756
3150,oublier,-0.00014085386356889825
1010,»,-0.0001406012383898524
7040,ford,-0.0001405504426502548
5522,cemetery,-0.00014045031025022183
5708,bombed,-0.0001404412504214757
3483,rapture,-0.00014027755567332147
4292,truely,-0.00014026144710932193
3300,nanny,-0.00014022832341974837
1226,mins,-0.00014019489887998854
1786,rehearsal,-0.00014013539707447112
5449,ghost,-0.00014003328380793087
4090,mettre,-0.00013969565972937636
818,leaking,-0.0001396654087799404
5468,visualiser,-0.0001396404946120003
924,mcintyre,-0.00013962919528407908
8536,choc,-0.0001394685766078513
8707,somone,-0.00013932760661854103
7542,faithful,-0.00013931708782891127
3609,stairs,-0.0001392488955226504
27,10,-0.0001391698285182014
7208,adeep,-0.0001391546422702835
8190,servant,-0.0001390721146420472
6773,anguished,-0.00013898331831699472
8651,gays,-0.00013886110059994544
3908,indoor,-0.00013869686083214016
8456,guinea,-0.00013850851269093912
1404,ver,-0.0001384659937569339
4628,sats,-0.0001384097120564977
1938,funeral,-0.00013827514032190211
8037,respectful,-0.0001382568334166599
725,ven,-0.00013823202396689334
6286,protocol,-0.00013816665338330919
4825,squirrel,-0.000138142031423115
7914,pfps,-0.00013813395605370251
8654,anja,-0.000138113307493348
2309,injured,-0.00013810438547509673
6226,worship,-0.00013809017213810645
3885,humble,-0.00013805708021827985
2307,brave,-0.00013802424142723152
3931,refs,-0.00013790098065214395
4422,3-11,-0.0001378413019589406
3571,santas,-0.0001377050085954098
2002,lights,-0.00013760692686290703
5942,inactive,-0.00013758152093108964
1595,harold,-0.0001374963094935766
6269,forgotten,-0.0001374205097456881
1292,jerry,-0.00013737146257814054
