Word,Bert,Distilbert,Bert_Mask,DistilBert_Mask
dried,-4.8700000000000005e-05,-2.24e-05,0.0385187454521656,0.0267179012298584
trigger,-4.8599999999999995e-05,-2.5300000000000002e-05,-0.06351194530725479,-0.021121453493833545
bathing,-4.79e-05,-2.84e-05,-0.0016341209411621096,-0.010268211364746094
wore,-4.79e-05,-2.61e-05,0.12022002786397935,0.11703077703714372
dining,-4.79e-05,-9.94e-06,0.03965592384338379,-0.04716753959655762
generic,-4.7799999999999996e-05,3.2200000000000003e-05,0.05076265335083008,0.03423762321472168
royce,-4.77e-05,-1.9600000000000002e-05,0.007695674896240234,0.009142398834228516
excuses,-4.74e-05,-1.32e-05,0.07069098949432373,0.07918524742126465
sunderland,-4.73e-05,-4.6700000000000003e-05,0.10753583908081056,0.1043086051940918
ira,-4.66e-05,-2.2899999999999998e-05,-0.023940324783325195,-0.013799190521240234
existing,-4.66e-05,-1.8100000000000003e-05,-0.05084848403930664,-0.03758859634399414
neglect,-4.6399999999999996e-05,-5.08e-06,0.06320381164550781,0.004332065582275391
rn,-4.6399999999999996e-05,2.44e-05,-0.12794876098632812,-0.12856578826904294
context,-4.61e-05,-1.3699999999999998e-05,-0.006614208221435547,-0.02196788787841797
increased,-4.61e-05,2.15e-07,-0.02935194969177246,-0.03236651420593262
noses,-4.61e-05,-8.01e-06,0.4085965156555176,7.135519027709961
chopped,-4.59e-05,3.1e-05,-0.014420509338378906,-0.0214838981628418
64,-4.57e-05,-2.1600000000000003e-05,0.06176137924194336,0.006398359779268503
scenes,-4.57e-05,-1.3500000000000001e-05,-0.08715248107910156,0.010339975357055664
terry,-4.55e-05,1.2e-05,0.007658958435058594,-0.013970215804874895
isle,-4.55e-05,-4.57e-05,0.03276824951171875,0.005431652069091797
800,-4.55e-05,-3.43e-05,-0.03859440609812737,-0.06686004251241684
carries,-4.5e-05,-8.78e-06,0.06297826766967772,0.02252614498138428
meter,-4.49e-05,-1.25e-05,-0.034747838973999016,-0.24883508682250974
mutual,-4.48e-05,5.52e-06,-0.14673686027526855,0.2484040260314941
offended,-4.47e-05,-1.05e-05,0.04697394371032715,-0.008974313735961914
disabilities,-4.44e-05,-1.9e-05,-0.012751579284667969,0.006084918975830078
united,-4.44e-05,-1.21e-05,-0.005591375287622213,-0.0065910425037145615
corruption,-4.4200000000000004e-05,-1.7899999999999998e-05,-0.20847217738628387,0.034899234771728516
blocked,-4.41e-05,-2.45e-05,-0.08198269456624985,-0.03925283625721932
husbands,-4.41e-05,5.35e-06,0.03605079650878906,-0.0418848991394043
whistle,-4.39e-05,-1.92e-05,-0.0826323851943016,-0.04150215908885002
assuming,-4.3799999999999994e-05,-2.01e-05,0.12755966186523438,0.007805347442626953
enforce,-4.3799999999999994e-05,1.09e-05,0.053638458251953125,-0.12225008010864258
protective,-4.3700000000000005e-05,-2.3100000000000002e-05,0.07291603088378906,0.03770709037780762
kills,-4.36e-05,-2.6899999999999997e-05,-0.010725002735853195,0.2950174212455749
melting,-4.35e-05,-4.32e-06,-0.04812812805175781,0.004429817199707031
dug,-4.35e-05,3.16e-05,0.1363086700439453,-0.03586292266845703
rates,-4.33e-05,3.05e-05,0.015754222869873047,0.06676912307739258
backs,-4.3200000000000007e-05,-6.17e-06,-0.037290215492248535,-0.006112098693847656
kerry,-4.31e-05,-1.62e-05,-0.07783794403076172,-0.03148984909057617
fluffy,-4.31e-05,-1.36e-05,-0.03959083557128906,-0.056002140045166016
watches,-4.3e-05,8.58e-07,0.1116476058959961,0.06027364730834961
avoid,-4.29e-05,-2.97e-05,-0.09977121651172638,0.13436299562454224
plates,-4.2499999999999996e-05,3.53e-05,-0.023717403411865238,0.07029056549072266
liberty,-4.2499999999999996e-05,-1.6e-05,0.0008778572082519531,-0.016228675842285156
internal,-4.2499999999999996e-05,-1.9699999999999998e-05,-0.013900995254516602,-0.055309534072875984
benefit,-4.23e-05,-4.44e-06,-0.04036211967468262,0.08674120903015138
razor,-4.1899999999999995e-05,-1.82e-05,0.1039419174194336,-0.003532886505126953
factory,-4.16e-05,-1.99e-05,0.019982624799013138,0.028509330004453663
refrigerator,-4.15e-05,2.05e-05,0.07326984405517578,0.1369180679321289
colleagues,-4.11e-05,-2.5300000000000002e-05,0.0759725570678711,-0.04485177993774414
rumor,-4.11e-05,-1.21e-05,0.009238243103027344,0.019186019897460938
torn,-4.11e-05,-9.59e-06,0.07148019224405289,0.8148608803749084
numerous,-4.11e-05,-1.99e-05,-0.018353939056396484,-0.02266716957092285
swallowed,-4.1e-05,-7.28e-06,-0.21760797500610352,0.08548831939697266
mom,-4.1e-05,-6.4e-06,0.07596322894096375,-0.00226360815577209
