,Word,Bert,Distilbert
1452,jason,-3.66E-05,-1.87E-05
1453,tests,-3.65E-05,-1.45E-05
1454,wasn,-3.63E-05,-6.01E-06
1455,understood,-3.63E-05,-3.68E-05
1456,recipes,-3.63E-05,-1.40E-05
1457,education,-3.62E-05,-1.67E-05
1458,hour,-3.62E-05,-2.03E-05
1459,perform,-3.61E-05,-1.66E-05
1460,statistics,-3.61E-05,1.24E-05
1461,dipped,-3.61E-05,1.73E-05
1462,qb,-3.61E-05,-2.35E-05
1463,vocabulary,-3.60E-05,-1.95E-05
1464,dive,-3.60E-05,-9.32E-06
1465,lot,-3.60E-05,-1.44E-05
1466,sleeves,-3.60E-05,-1.55E-05
1467,assignment,-3.59E-05,3.60E-06
1468,throughout,-3.59E-05,3.61E-06
1469,correlation,-3.59E-05,-3.28E-05
1470,cooking,-3.58E-05,5.69E-07
1471,choir,-3.58E-05,-3.11E-05
1472,science,-3.57E-05,-1.45E-05
1473,manage,-3.57E-05,-8.12E-06
1474,ipod,-3.57E-05,-7.65E-06
1475,lived,-3.56E-05,-2.13E-05
1476,ft,-3.56E-05,-8.90E-06
1477,sits,-3.56E-05,1.53E-05
1478,locker,-3.56E-05,-1.03E-05
1479,construction,-3.56E-05,-1.64E-05
1480,paperwork,-3.56E-05,3.26E-05
1481,jones,-3.55E-05,6.93E-06
1482,part,-3.55E-05,-5.76E-06
1483,cab,-3.55E-05,-7.59E-06
1484,jon,-3.55E-05,-3.80E-06
1485,amount,-3.54E-05,-2.70E-05
1486,overlooking,-3.53E-05,-2.92E-05
1487,finals,-3.53E-05,-6.99E-06
1488,glowing,-3.52E-05,-7.30E-06
1489,claus,-3.52E-05,-3.08E-06
1490,supervisor,-3.51E-05,-2.57E-05
1491,mermaid,-3.51E-05,-3.36E-05
1492,google,-3.50E-05,-5.52E-06
1493,dude,-3.50E-05,-1.83E-05
1494,husbands,-3.50E-05,-2.28E-05
1495,hd,-3.50E-05,-1.30E-05
1496,shaped,-3.49E-05,-3.62E-05
1497,fan,-3.49E-05,-8.70E-06
1498,strike,-3.48E-05,-4.25E-05
1499,history,-3.48E-05,-1.32E-05
1500,clarity,-3.47E-05,-5.18E-05
1501,england,-3.47E-05,-1.76E-05
1502,wilson,-3.47E-05,5.06E-05
1503,paint,-3.47E-05,-3.09E-05
1504,replay,-3.46E-05,-4.06E-05
1505,played,-3.45E-05,2.49E-06
1506,languages,-3.45E-05,2.78E-05
1507,grand,-3.44E-05,-2.82E-05
1508,complimented,-3.44E-05,-2.45E-05
1509,randomly,-3.44E-05,5.01E-06
1510,altogether,-3.43E-05,-3.17E-05
1511,copper,-3.43E-05,7.47E-06
1512,steak,-3.42E-05,1.81E-05
1513,do,-3.42E-05,-1.00E-05
1514,turned,-3.42E-05,-1.71E-05
1515,revelation,-3.41E-05,-3.05E-05
1516,books,-3.40E-05,-2.24E-05
1517,riding,-3.39E-05,1.35E-05
1518,playing,-3.39E-05,-2.66E-06
1519,td,-3.38E-05,2.91E-06
1520,dragons,-3.38E-05,-1.04E-05
1521,nearly,-3.38E-05,-3.16E-05
1522,delighted,-3.37E-05,-2.17E-05
1523,ralph,-3.37E-05,-4.77E-05
1524,gods,-3.37E-05,-1.21E-05
1525,textbooks,-3.36E-05,-6.15E-06
1526,singers,-3.35E-05,1.15E-05
1527,both,-3.35E-05,-1.14E-05
1528,french,-3.34E-05,-1.16E-05
1529,learned,-3.34E-05,-1.99E-05
1530,blank,-3.34E-05,-7.68E-06
1531,pay,-3.33E-05,-5.13E-06
1532,angel,-3.32E-05,-9.89E-06
1533,wore,-3.31E-05,1.22E-05
1534,swimming,-3.30E-05,-8.51E-06
1535,listened,-3.30E-05,1.21E-05
1536,crazy,-3.30E-05,-1.05E-05
1537,motivated,-3.30E-05,-6.62E-05
1538,chip,-3.29E-05,-1.16E-05
1539,frankie,-3.29E-05,-2.73E-06
1540,underground,-3.29E-05,-2.65E-05
1541,min,-3.28E-05,-6.38E-06
1542,poll,-3.27E-05,-2.23E-05
1543,avatar,-3.27E-05,-7.10E-05
1544,youtube,-3.26E-05,-2.93E-06
1545,bright,-3.26E-05,-4.78E-06
1546,tiger,-3.26E-05,-6.52E-06
1547,1st,-3.24E-05,-1.12E-06
1548,es,-3.24E-05,-8.22E-06
1549,alive,-3.24E-05,-1.51E-05
1550,tn,-3.24E-05,-3.19E-06
1551,essay,-3.24E-05,-7.66E-06
1552,done,-3.23E-05,-1.30E-05
1553,proud,-3.23E-05,-2.44E-05
1554,victory,-3.23E-05,-3.23E-05
1555,pinch,-3.23E-05,3.81E-05
1556,advanced,-3.23E-05,1.23E-06
1557,butter,-3.22E-05,-2.16E-05
1558,hired,-3.22E-05,0.000112401
1559,nanny,-3.21E-05,-2.46E-05
1560,las,-3.21E-05,4.72E-06
1561,brighter,-3.19E-05,-1.93E-05
1562,three,-3.18E-05,-1.85E-05
1563,blue,-3.17E-05,8.29E-07
1564,sandwiches,-3.17E-05,-1.79E-06
1565,weave,-3.17E-05,3.64E-06
1566,highway,-3.16E-05,-4.67E-05
1567,first,-3.16E-05,-1.19E-05
1568,penguin,-3.15E-05,-2.51E-05
1569,gossip,-3.14E-05,-1.90E-05
1570,decker,-3.14E-05,-5.48E-05
1571,novels,-3.14E-05,-7.20E-05
1572,helped,-3.14E-05,-3.58E-06
1573,sky,-3.14E-05,-1.14E-05
1574,bruce,-3.13E-05,2.69E-06
1575,holy,-3.12E-05,-2.05E-05
1576,ic,-3.12E-05,-8.27E-06
1577,roast,-3.12E-05,3.19E-05
1578,eaten,-3.12E-05,-2.62E-05
1579,essays,-3.11E-05,-1.63E-05
1580,shane,-3.10E-05,-1.35E-05
1581,trying,-3.10E-05,-4.42E-06
1582,paying,-3.10E-05,-7.83E-06
1583,beck,-3.09E-05,-5.64E-05
1584,might,-3.09E-05,-5.49E-06
1585,occasion,-3.08E-05,3.00E-05
1586,turning,-3.08E-05,-1.89E-05
1587,great,-3.08E-05,-1.86E-05
1588,numerous,-3.07E-05,1.25E-05
1589,25,-3.07E-05,5.58E-06
1590,kept,-3.07E-05,-2.24E-05
1591,warehouse,-3.06E-05,-2.02E-07
1592,flew,-3.04E-05,-1.88E-05
1593,restaurants,-3.03E-05,-2.57E-05
1594,chinese,-3.03E-05,-1.16E-06
1595,blinds,-3.03E-05,1.49E-06
1596,impressive,-3.03E-05,-2.97E-05
1597,nominated,-3.02E-05,1.52E-05
1598,hong,-3.01E-05,-6.88E-05
1599,guard,-3.00E-05,-9.92E-06
1600,twist,-3.00E-05,1.80E-05
1601,dresses,-3.00E-05,-5.96E-06
1602,rec,-2.99E-05,-1.17E-05
1603,falcons,-2.99E-05,1.85E-05
1604,dvd,-2.98E-05,-1.56E-07
1605,soft,-2.96E-05,-1.49E-05
1606,jeff,-2.96E-05,-9.35E-06
1607,sophie,-2.96E-05,1.72E-05
1608,readings,-2.96E-05,-3.84E-05
1609,aid,-2.96E-05,2.45E-05
1610,adopted,-2.96E-05,-2.81E-05
1611,curled,-2.96E-05,-2.97E-05
1612,kisses,-2.95E-05,8.50E-06
1613,metal,-2.95E-05,1.76E-06
1614,mmm,-2.95E-05,-2.01E-06
1615,cleaned,-2.95E-05,-8.11E-06
1616,debating,-2.95E-05,-1.53E-05
1617,sticking,-2.94E-05,-4.18E-05
1618,rocking,-2.94E-05,-2.32E-05
1619,bringing,-2.93E-05,9.79E-06
1620,coat,-2.93E-05,-1.14E-05
1621,david,-2.93E-05,-1.45E-05
1622,ice,-2.93E-05,-1.91E-05
1623,tv,-2.93E-05,-1.38E-05
1624,daniel,-2.93E-05,-1.09E-05
1625,goal,-2.92E-05,-1.90E-05
1626,3,-2.92E-05,1.32E-05
1627,ironically,-2.92E-05,-5.22E-06
1628,joining,-2.92E-05,-4.30E-05
1629,white,-2.90E-05,-1.08E-05
1630,entered,-2.90E-05,-9.18E-06
1631,subject,-2.90E-05,-1.24E-05
1632,freely,-2.89E-05,-2.97E-05
1633,brief,-2.89E-05,-2.93E-05
1634,40,-2.88E-05,8.28E-06
1635,finished,-2.88E-05,-1.36E-05
1636,happening,-2.88E-05,-1.23E-05
1637,skating,-2.87E-05,-3.44E-05
1638,shows,-2.87E-05,-1.47E-05
1639,disco,-2.87E-05,3.19E-08
1640,union,-2.86E-05,-2.75E-05
1641,zero,-2.86E-05,-9.62E-06
1642,terry,-2.86E-05,3.04E-05
1643,jerry,-2.86E-05,-1.03E-05
1644,report,-2.86E-05,9.19E-06
1645,jean,-2.85E-05,-5.66E-06
1646,conduct,-2.85E-05,-4.82E-05
1647,lb,-2.84E-05,-4.33E-06
1648,4th,-2.84E-05,-1.82E-05
1649,pokemon,-2.84E-05,6.83E-06
1650,songs,-2.84E-05,-1.12E-05
1651,kings,-2.84E-05,3.00E-06
1652,cam,-2.84E-05,1.14E-05
1653,latest,-2.83E-05,-2.23E-06
1654,noah,-2.83E-05,-4.13E-05
1655,soccer,-2.82E-05,-1.36E-05
1656,liquor,-2.82E-05,-1.40E-05
1657,good,-2.81E-05,-8.18E-06
1658,ad,-2.80E-05,-1.49E-05
1659,height,-2.79E-05,-3.82E-06
1660,rs,-2.78E-05,-2.57E-05
1661,stil,-2.78E-05,-4.37E-05
1662,eu,-2.78E-05,-1.65E-05
1663,federer,-2.77E-05,2.02E-05
1664,layer,-2.77E-05,1.04E-05
1665,well,-2.77E-05,-1.82E-05
1666,immense,-2.77E-05,-3.48E-06
1667,million,-2.77E-05,-1.33E-05
1668,94,-2.76E-05,-4.60E-05
1669,wild,-2.76E-05,4.69E-06
1670,type,-2.76E-05,-5.73E-06
1671,loaded,-2.75E-05,-1.86E-05
1672,lights,-2.75E-05,-2.32E-05
1673,virginia,-2.74E-05,1.21E-05
1674,voice,-2.74E-05,-7.42E-06
1675,jc,-2.73E-05,-2.88E-06
1676,beat,-2.72E-05,-2.19E-05
1677,97,-2.72E-05,-3.12E-05
1678,10,-2.71E-05,-4.21E-06
1679,play,-2.71E-05,-1.34E-07
1680,recommend,-2.70E-05,-1.40E-05
1681,tempting,-2.70E-05,-1.40E-05
1682,photography,-2.70E-05,1.58E-06
1683,hill,-2.70E-05,-2.07E-06
1684,boxers,-2.69E-05,-2.56E-05
1685,attention,-2.69E-05,-4.91E-06
1686,economics,-2.69E-05,-3.96E-05
1687,clicking,-2.68E-05,3.90E-06
1688,network,-2.68E-05,-1.36E-05
1689,flick,-2.68E-05,1.06E-05
1690,mis,-2.67E-05,-2.61E-06
1691,through,-2.66E-05,-1.70E-05
1692,music,-2.65E-05,-9.68E-06
1693,cooler,-2.65E-05,7.87E-06
1694,odd,-2.64E-05,-2.62E-05
1695,from,-2.63E-05,-1.51E-05
1696,allowed,-2.63E-05,-1.11E-05
1697,vampire,-2.63E-05,-5.24E-06
1698,murphy,-2.62E-05,-1.17E-05
1699,since,-2.62E-05,-1.56E-05
1700,style,-2.61E-05,-1.49E-05
1701,greek,-2.61E-05,-2.85E-05
1702,lisa,-2.61E-05,-9.83E-06
1703,phone,-2.60E-05,-1.93E-05
1704,rum,-2.60E-05,-2.22E-05
1705,pi,-2.60E-05,2.47E-06
1706,chili,-2.60E-05,1.98E-05
1707,symbol,-2.59E-05,2.04E-05
1708,seasons,-2.59E-05,-5.38E-05
1709,raiders,-2.59E-05,-7.69E-06
1710,hugged,-2.59E-05,-1.43E-05
1711,doing,-2.58E-05,-7.30E-06
1712,lacking,-2.58E-05,2.45E-05
1713,roses,-2.56E-05,-1.13E-05
1714,add,-2.55E-05,6.47E-06
1715,dash,-2.55E-05,-1.67E-05
1716,serving,-2.55E-05,-8.31E-06
1717,twitter,-2.54E-05,-7.69E-06
1718,shining,-2.54E-05,-1.94E-05
1719,arrow,-2.53E-05,-6.43E-06
1720,working,-2.53E-05,-4.49E-06
1721,joe,-2.53E-05,-9.57E-06
1722,latin,-2.51E-05,9.59E-06
1723,swans,-2.51E-05,-2.43E-05
1724,variety,-2.50E-05,-5.26E-06
1725,exam,-2.50E-05,-1.33E-05
1726,midnight,-2.49E-05,-1.47E-05
1727,netball,-2.49E-05,4.22E-07
1728,saint,-2.49E-05,7.75E-06
1729,chief,-2.49E-05,-4.38E-07
1730,player,-2.47E-05,-2.47E-05
1731,lightning,-2.47E-05,-4.34E-05
1732,mid,-2.46E-05,-1.47E-05
1733,battery,-2.45E-05,-1.52E-05
1734,50,-2.45E-05,-1.24E-05
1735,fancy,-2.45E-05,-1.47E-05
1736,bob,-2.44E-05,7.48E-06
1737,blowing,-2.44E-05,-2.42E-05
1738,flowing,-2.44E-05,-4.89E-05
1739,atlanta,-2.44E-05,9.37E-06
1740,grasp,-2.43E-05,-1.66E-05
1741,traded,-2.43E-05,-2.57E-05
1742,environmental,-2.42E-05,3.26E-05
1743,bark,-2.42E-05,-2.26E-05
1744,waiter,-2.42E-05,-2.73E-05
1745,ale,-2.41E-05,1.12E-06
1746,ago,-2.41E-05,-3.56E-06
1747,kitten,-2.40E-05,-1.68E-05
1748,0,-2.39E-05,-8.24E-06
1749,nba,-2.39E-05,-7.75E-06
