Word,Value,Freq,Method,Label
spontaniousplanning,0.954424887895584,one,DistilBERT_Mask,joy
menswear,0.9405551850795746,one,DistilBERT_Mask,joy
channeling,0.9389346837997437,one,DistilBERT_Mask,joy
elated,0.9345225691795348,one,DistilBERT_Mask,joy
noodle,0.9222114831209184,one,DistilBERT_Mask,joy
painintheass,0.9214049577713012,one,DistilBERT_Mask,joy
passout,0.9163757562637328,one,DistilBERT_Mask,joy
thousandth,0.904782384634018,one,DistilBERT_Mask,joy
modernfamily,0.8921246528625488,one,DistilBERT_Mask,joy
splenda,0.8887044191360474,one,DistilBERT_Mask,joy
lovemyfamilia,0.8798838779330254,one,DistilBERT_Mask,joy
deliciousness,0.8773072361946106,one,DistilBERT_Mask,joy
gohome,0.8736930564045906,one,DistilBERT_Mask,joy
resonating,0.871850460767746,one,DistilBERT_Mask,joy
swinging,0.8715583086013794,one,DistilBERT_Mask,joy
silliness,0.870392233133316,one,DistilBERT_Mask,joy
thankfulfor,0.8677780628204346,one,DistilBERT_Mask,joy
liberated,0.8672555685043335,one,DistilBERT_Mask,joy
carvery,0.8598671853542328,one,DistilBERT_Mask,joy
refreshed,0.8548708558082581,one,DistilBERT_Mask,joy
hypnotherapy,0.8524536490440369,one,DistilBERT_Mask,joy
bubblebath,0.8389562666416168,one,DistilBERT_Mask,joy
massagers,0.8326346427202225,one,DistilBERT_Mask,joy
work.ugh,0.8320139348506927,one,DistilBERT_Mask,joy
christmasshopping,0.8211043477058411,one,DistilBERT_Mask,joy
"""-master",0.8197496831417084,one,DistilBERT_Mask,joy
mustgoshopping,0.8194290548563004,one,DistilBERT_Mask,joy
10pm,0.8144544959068298,one,DistilBERT_Mask,joy
eyeful,0.814123123884201,one,DistilBERT_Mask,joy
confessiontweet,0.8129876554012299,one,DistilBERT_Mask,joy
excellente,0.8006500899791718,one,DistilBERT_Mask,joy
wonderfulthings,0.7956842184066772,one,DistilBERT_Mask,joy
-merry,0.7924928516149521,one,DistilBERT_Mask,joy
spilt,0.7892613559961319,one,DistilBERT_Mask,joy
titty,0.7865129113197327,one,DistilBERT_Mask,joy
pain!â€,0.7855988368391991,one,DistilBERT_Mask,joy
whateverdadwantsonhisbirthday,0.783076599240303,one,DistilBERT_Mask,joy
fot,0.780319333076477,one,DistilBERT_Mask,joy
peirced,0.7760922759771347,one,DistilBERT_Mask,joy
intermezzo,0.7759226262569427,one,DistilBERT_Mask,joy
tint,0.7743657231330872,one,DistilBERT_Mask,joy
lifechanging,0.7730158865451813,one,DistilBERT_Mask,joy
interzone,0.7680720686912537,one,DistilBERT_Mask,joy
rehursal,0.7607954293489456,one,DistilBERT_Mask,joy
workshops,0.7597770690917969,one,DistilBERT_Mask,joy
celebratory,0.7579434514045715,one,DistilBERT_Mask,joy
commerical,0.752233237028122,one,DistilBERT_Mask,joy
wisdomteeth,0.7503793239593506,one,DistilBERT_Mask,joy
enjoytheday,0.7470640242099762,one,DistilBERT_Mask,joy
#christmasproblems,0.7441566586494446,one,DistilBERT_Mask,joy
noschool,0.7431753575801849,one,DistilBERT_Mask,joy
convergence,0.7423321008682251,one,DistilBERT_Mask,joy
