word,score,word_count
been,-0.006111844523508428,1624
gatorade,-0.005570838991292614,49
substitute,-0.004219951767008894,96
me,-0.007480320767832982,3002
helps,-0.0029540655869939414,139
lot,-0.004874853428793291,648
sick,-0.010768305023292011,131
dehydrated,-0.005416577217841862,18
hydrate,-0.0003568040978623482,6
quickly,-0.00350538444609351,192
cat,-0.006015992387582573,533
third,-0.007002870477409552,90
gravy,-0.0029655993100510744,84
thick,-0.00598476804023456,164
looks,-0.00832686820185003,206
bits,-0.008319049923168773,80
steak,-0.0006326063622005715,20
slicked,0.00032533983768075816,1
off,-0.00861079270450289,761
your,-0.00693651723981725,2088
licks,-0.0010212706520654272,9
bowl,-0.005448716479094913,121
clean,-0.004894564833564337,171
time,-0.006735675608367767,2043
wants,-0.005062056482778752,80
should,-0.010233291318100366,775
send,-0.010769823126818774,71
discounts,-0.002712962253062396,4
gives,-0.005463302317235646,161
idea,-0.0075989391594732825,264
recent,-0.003523263463010345,36
months,-0.005339908328296899,366
become,-0.002227094806549205,98
an,-0.007092679053742774,1966
amazon.com,-0.006906712207138621,149
prime,-0.005110785167516286,76
fanatic,-0.005549246509373782,9
why,-0.008382581249897221,530
?,-0.010643680882959838,1718
because,-0.008765704415329173,2331
cheap,-0.009869758054675586,275
(,-0.007167364663131285,4176
meaning,-0.005347505881589355,13
"""",-0.008703497008401834,5749
cost,-0.006442136814818858,270
"effective"")and",-0.006696397224222892,1
delivered,-0.003953177164789122,111
days,-0.0070087665979715755,373
free,-0.006352976067092414,1128
how,-0.008041489805515068,977
beware!!<br,-0.006696397224222892,1
/><br,-0.007124219396448977,5997
/>as,-0.008222296266240913,108
president,-0.006696397224222892,1
reagan,-0.0017693326044415393,2
trust,-0.009451374009256452,69
verify,-0.006472750811148824,5
actually,-0.008017395094856956,663
corrected,-0.008153762940359525,16
intent,-0.0032655627624092174,4
think,-0.0075658951817220476,1078
he,-0.004890903884992879,1230
too,-0.006401983843101615,2036
politically,-0.006696397224222892,1
correct,-0.010540266474772913,69
;,-0.007245928822773464,747
distrust,-0.006696397224222892,2
must,-0.006614848316601893,279
shop,-0.005022557550603044,178
reshop,-0.006696397224222892,1
internet,-0.006431294493005192,60
retail,-0.009995679256373308,46
see,-0.007541820056760321,754
what,-0.008640108581893173,2134
sense.<br,-0.006696397224222892,1
/>to,-0.008693260291692267,61
point,-0.007467103610841188,162
:,-0.007461603590127444,923
40,-0.007224651974352747,105
2,-0.00681819393537816,952
1/2,-0.005818657840669516,120
lb,-0.0059710650466485386,120
),-0.007224270714971399,3845
b&j,-0.006696397224222892,1
kona,-0.009151441513733115,60
blend,-0.004631941226634996,398
beans,-0.006360944352125501,521
decorative,-0.014334252611578347,9
$,-0.007483882006565109,1245
16.99,-0.006934823503878154,2
sales,-0.006196233673675064,29
tax,-0.0026061405436688056,23
ma,-0.0020806053746290827,4
local,-0.004680313647222119,636
bj,-0.004163757121177088,5
aggressive,-0.008142467353300164,6
marketplace,-0.0031711888250380675,5
seller,-0.009105217374965273,207
offering,-0.008509999588156233,53
same,-0.008784490446972102,1056
item,-0.009433954495943628,577
40.69,-0.006696397224222892,1
8.24,-0.006696397224222892,1
shipping,-0.008203506268139305,653
48.93,-0.006696397224222892,1
total,-0.00884232742481052,162
dignify,-0.006696397224222892,1
sellers,-0.006565802913037766,36
speculating,-0.006696397224222892,1
profit,-0.007757841317529028,10
margin,-0.007291367348631563,4
might,-0.008473567736166964,470
final,-0.0073797334649424815,19
unit,-0.006861096494820335,38
results,-0.0076015268128758915,176
judge,-0.004021060657713861,5
all,-0.007625131883426716,3974
say,-0.007794654163447834,893
again,-0.009057895637412003,1532
"verify"".<br",-0.006696397224222892,1
/>p.s,-0.005908249016627846,17
defend,-0.006916729621516424,2
company,-0.00860531711834419,585
gouge,-0.005208464607095399,4
their,-0.007773630365115012,1527
customers,-0.008624130458402634,64
capitalism,-0.006696397224222892,2
america,-0.008206584941597308,30
about,-0.007061604697755095,2214
flip,-0.00791185334551464,13
gouging,-0.004345358821462165,8
decide,-0.004934785287807679,35
sell,-0.008756182452765715,157
less,-0.006020751169573287,688
money-,-0.006696397224222892,1
're,-0.006794544862704178,893
about.<br,-0.0027972057158088624,3
/>i,-0.007601137991953696,1394
encourage,-0.0009749816879723636,7
readers,-0.006696397224222892,1
comment,-0.008982082166036385,45
opinion,-0.007747540205432525,174
thank,-0.0012484748066402705,171
fill,-0.005580676255201397,89
own,-0.00671865680411884,567
k,-0.0070716705571370764,1090
cups,-0.007547478903127921,1114
