word,NNprob,wordCount,NN_Rank
@ms_mbieber,-12.359163,11,731
dontunderstand,-12.359163,11,732
@kristin0462,-12.359163,1,733
@caitclark,-12.359163,1,734
violationofaphysicslaw,-12.359163,7,735
@djcanrock,-12.359163,7,736
kapscarter,-12.359163,1,737
@meganevs,-12.359163,1,738
@niaphillips1,-12.359163,1,739
okaayy,-12.359163,1,740
shurmur,-12.359163,1,741
shouldbeinteresting,-12.359163,1,742
tworld,-12.359163,1,743
-eddie,-12.359163,1,744
@2allbeefpatties,-12.359163,1,745
@jranderson11,-12.359163,1,746
forealz,-12.359163,1,747
@ahumberto99,-12.359163,15,748
@davewright70,-12.359163,1,749
@rmmanson,-12.359163,1,750
@gabburnssmith,-12.359163,1,751
@fraudsterboosh,-12.359163,1,752
lordâ€,-12.359163,1,753
nuvali,-12.359163,1,754
@mmakelly,-12.359163,1,755
@thebillyfinnega,-12.359163,1,756
@caitscung,-12.359163,1,757
@torque10,-12.359163,1,758
gooodmorning,-12.359163,1,759
toooo=,-12.359163,1,760
@cristinaaa,-12.359163,1,761
@stefiluvs08,-12.359163,1,762
imnotgonnaagetanythingdone,-12.359163,1,763
@fahimav,-12.359163,6,764
@me,-12.359163,6,765
thanksdad,-12.359163,1,766
@duckingfabulous,-12.359163,1,767
carlas,-12.359163,1,768
idiotrt,-12.359163,1,769
@nadia_nabil,-12.359163,1,770
@lovecarleex3,-12.359163,1,771
@wang_thai,-12.359163,1,772
@cheviot_publish,-12.359163,1,773
tearyeyed,-12.359163,1,774
cyclesradio,-12.359163,10,775
abcfamily,-12.359163,1,776
istillhavetogotofuckingschool,-12.359163,1,777
@itsjoleigh,-12.359163,1,778
@samconnell7,-12.359163,1,779
@colettexo,-12.359163,1,780
@deanboedeker,-12.359163,1,781
life<3,-12.359163,1,782
@drsampyroy,-12.359163,1,783
@mandaladw,-12.359163,1,784
abegabe,-12.359163,1,785
madeacuppa,-12.359163,12,786
@zachr_21,-12.359163,1,787
â€œ@alwayys_smilee,-12.359163,1,788
dâ€,-12.359163,1,789
@mggpan,-12.359163,1,790
@megalwaysrunnin,-12.359163,1,791
@kristnmalea,-12.359163,1,792
@kangachad,-12.359163,1,793
sillystringat5,-12.359163,1,794
arieas,-12.359163,1,795
@kerlynlesmes,-12.359163,1,796
7:15,-12.359163,1,797
carolofthebellsabr,-12.359163,1,798
@alexconstancio7,-12.359163,2,799
alexxxx,-12.359163,1,800
soocute,-12.359163,1,801
rechael,-12.359163,1,802
gudnyt,-12.359163,1,803
@colequitman,-12.359163,1,804
freezing/,-12.359163,1,805
@asmaradavias,-12.359163,1,806
susancosmos,-12.359163,1,807
ilovetraffic,-12.359163,1,808
îž,-12.359163,3,809
@rocsi_rose,-12.359163,1,810
shutthefuckup,-12.359163,9,811
@xdoobie1990x,-12.359163,1,812
@vanooch09,-12.359163,1,813
byrdhouse,-12.359163,1,814
@laviede_kerrie,-12.359163,1,815
pchem,-12.359163,1,816
î³,-12.359163,1,817
î¸,-12.359163,1,818
ï†,-12.359163,1,819
236thbirthdayofthemarinecorps,-12.359163,1,820
@coachcaudilla,-12.359163,1,821
@minniesboutique,-12.359163,1,822
@irenevcmortera,-12.359163,1,823
evaaa,-12.359163,2,824
muhhfuckas,-12.359163,1,825
@kalals,-12.359163,1,826
sleeptweet,-12.359163,1,827
@carmisacramento,-12.359163,1,828
@virtueous_woman,-12.359163,1,829
@chefanneburrell,-12.359163,1,830
@gzchef,-12.359163,1,831
@monsterkatie,-12.359163,1,832
@rosscollings,-12.359163,1,833
@authornataliea,-12.359163,1,834
testttttt,-12.359163,16,835
@bang_maryam,-12.359163,1,836
@bangmir,-12.359163,1,837
"oppa,,,i",-12.359163,1,838
@ferdinandhitz,-12.359163,1,839
"oppa,,coz",-12.359163,1,840
@supernigga,-12.359163,1,841
@katedoesitbest,-12.359163,1,842
@yokoono,-12.359163,1,843
@kristennblack,-12.359163,1,844
-_____-,-12.359163,5,845
@joekitzinger90,-12.359163,1,846
gonnaneedcoffee,-12.359163,1,847
godfreys,-12.359163,1,848
baddesley,-12.359163,1,849
-@escapethefate,-12.359163,1,850
newww,-12.359163,1,851
kathay,-12.359163,1,852
confessiontweet,-12.359163,1,853
goes4me2,-12.359163,1,854
@lunajune,-12.359163,1,855
luntz,-12.359163,1,856
@jastaace,-12.359163,1,857
@terrinakamura,-12.359163,1,858
twitter~,-12.359163,1,859
collegebasketballatitsfinest,-12.359163,1,860
@gulfcoastgold,-12.359163,1,861
@brittenaylynn,-12.359163,1,862
@espncleveland,-12.359163,1,863
clevelander,-12.359163,1,864
96yo,-12.359163,1,865
secrettweet,-12.359163,1,866
@louisetynan,-12.359163,13,867
@gabe_jerry,-12.359163,1,868
@larkingrant,-12.359163,1,869
occupybeauregards,-12.359163,1,870
@coolbeansbus,-12.359163,1,871
caseofthemondays,-12.359163,1,872
@charleaunicorn,-12.359163,1,873
feelsick,-12.359163,1,874
@mikelajohnson,-12.359163,1,875
@honeypolanco,-12.359163,1,876
@erikageraerts,-12.359163,1,877
@fireballwhisky,-12.359163,1,878
@jordanpiano,-12.359163,1,879
"overflows!""â",-12.359163,1,880
¬â˜º,-12.359163,1,881
10:10,-12.359163,1,882
jesusjuice,-12.359163,1,883
scarredforlife,-12.359163,1,884
@ryanschellshock,-12.359163,1,885
@rebsportsradio,-12.359163,1,886
@captainmcinnis,-12.359163,1,887
@firstdogonmoon,-12.359163,1,888
@davetoyn,-12.359163,1,889
14:30,-12.359163,2,890
wanttoride,-12.359163,1,891
ankleneedstoheal,-12.359163,1,892
needhangovercure,-12.359163,1,893
www.letsmove.gov,-12.359163,1,894
yaheard,-12.359163,1,895
@cory_jackson,-12.359163,1,896
@kowala_bear332,-12.359163,1,897
nomorepain,-12.359163,1,898
getmeoutofhere,-12.359163,2,899
@tommytap11,-12.359163,1,900
@tougheddie,-12.359163,1,901
@niemajordan,-12.359163,1,902
@modeldash,-12.359163,1,903
dhere,-12.359163,1,904
dhem,-12.359163,1,905
ctfupp,-12.359163,1,906
act!god,-12.359163,1,907
@laurensequerra,-12.359163,1,908
